#      x          Cp  
     1.00000    0.25041
     0.99190    0.12278
     0.97930    0.08882
     0.96577    0.06493
     0.95212    0.04791
     0.93846    0.03434
     0.92480    0.02296
     0.91114    0.01307
     0.89747    0.00426
     0.88381   -0.00374
     0.87014   -0.01109
     0.85647   -0.01793
     0.84280   -0.02435
     0.82913   -0.03043
     0.81545   -0.03623
     0.80178   -0.04179
     0.78811   -0.04715
     0.77443   -0.05235
     0.76076   -0.05740
     0.74708   -0.06234
     0.73341   -0.06719
     0.71973   -0.07195
     0.70605   -0.07665
     0.69238   -0.08129
     0.67870   -0.08590
     0.66502   -0.09047
     0.65134   -0.09503
     0.63767   -0.09958
     0.62399   -0.10412
     0.61032   -0.10866
     0.59664   -0.11322
     0.58296   -0.11779
     0.56929   -0.12238
     0.55562   -0.12699
     0.54194   -0.13164
     0.52827   -0.13632
     0.51460   -0.14104
     0.50093   -0.14580
     0.48726   -0.15060
     0.47360   -0.15546
     0.45993   -0.16037
     0.44627   -0.16533
     0.43261   -0.17034
     0.41895   -0.17542
     0.40530   -0.18057
     0.39164   -0.18578
     0.37799   -0.19106
     0.36435   -0.19641
     0.35070   -0.20185
     0.33706   -0.20736
     0.32343   -0.21297
     0.30980   -0.21866
     0.29617   -0.22446
     0.28256   -0.23036
     0.26894   -0.23638
     0.25534   -0.24253
     0.24175   -0.24881
     0.22816   -0.25526
     0.21459   -0.26189
     0.20103   -0.26873
     0.18748   -0.27580
     0.17395   -0.28316
     0.16044   -0.29085
     0.14696   -0.29895
     0.13351   -0.30755
     0.12010   -0.31678
     0.10674   -0.32682
     0.09344   -0.33791
     0.08023   -0.35040
     0.06715   -0.36481
     0.05426   -0.38189
     0.04170   -0.40272
     0.02978   -0.42844
     0.01941   -0.45779
     0.01182   -0.48066
     0.00699   -0.47956
     0.00393   -0.43148
     0.00193   -0.29042
     0.00067    0.03263
     0.00007    0.56822
     0.00007    0.95648
     0.00067    0.94833
     0.00193    0.72921
     0.00393    0.51036
     0.00699    0.33376
     0.01182    0.19583
     0.01941    0.09323
     0.02978    0.02566
     0.04170   -0.01605
     0.05426   -0.04289
     0.06715   -0.06120
     0.08023   -0.07427
     0.09344   -0.08387
     0.10674   -0.09105
     0.12010   -0.09647
     0.13351   -0.10053
     0.14696   -0.10355
     0.16044   -0.10572
     0.17395   -0.10721
     0.18748   -0.10814
     0.20103   -0.10859
     0.21459   -0.10864
     0.22816   -0.10835
     0.24175   -0.10776
     0.25534   -0.10692
     0.26894   -0.10585
     0.28256   -0.10460
     0.29617   -0.10317
     0.30980   -0.10160
     0.32343   -0.09989
     0.33706   -0.09808
     0.35070   -0.09616
     0.36435   -0.09415
     0.37799   -0.09207
     0.39164   -0.08992
     0.40530   -0.08771
     0.41895   -0.08544
     0.43261   -0.08313
     0.44627   -0.08078
     0.45993   -0.07839
     0.47360   -0.07598
     0.48726   -0.07353
     0.50093   -0.07105
     0.51460   -0.06855
     0.52827   -0.06603
     0.54194   -0.06349
     0.55562   -0.06092
     0.56929   -0.05834
     0.58296   -0.05573
     0.59664   -0.05310
     0.61032   -0.05044
     0.62399   -0.04775
     0.63767   -0.04504
     0.65134   -0.04228
     0.66502   -0.03949
     0.67870   -0.03666
     0.69238   -0.03377
     0.70605   -0.03082
     0.71973   -0.02780
     0.73341   -0.02471
     0.74708   -0.02152
     0.76076   -0.01823
     0.77443   -0.01481
     0.78811   -0.01126
     0.80178   -0.00754
     0.81545   -0.00363
     0.82913    0.00051
     0.84280    0.00492
     0.85647    0.00964
     0.87014    0.01475
     0.88381    0.02034
     0.89747    0.02652
     0.91114    0.03345
     0.92480    0.04138
     0.93846    0.05068
     0.95212    0.06200
     0.96577    0.07655
     0.97930    0.09751
     0.99190    0.12833
     1.00000    0.25041
