#      x          Cp  
     1.00000    0.09036
     0.99221    0.07762
     0.98052    0.05811
     0.96698    0.03910
     0.95276    0.02180
     0.93836    0.00631
     0.92391   -0.00768
     0.90944   -0.02046
     0.89497   -0.03230
     0.88049   -0.04337
     0.86601   -0.05381
     0.85153   -0.06374
     0.83704   -0.07324
     0.82256   -0.08239
     0.80807   -0.09124
     0.79358   -0.09986
     0.77908   -0.10827
     0.76459   -0.11652
     0.75010   -0.12463
     0.73560   -0.13264
     0.72110   -0.14056
     0.70661   -0.14842
     0.69211   -0.15624
     0.67762   -0.16403
     0.66312   -0.17180
     0.64863   -0.17957
     0.63413   -0.18734
     0.61964   -0.19513
     0.60515   -0.20293
     0.59066   -0.21076
     0.57617   -0.21860
     0.56169   -0.22646
     0.54721   -0.23433
     0.53273   -0.24220
     0.51825   -0.25004
     0.50378   -0.25783
     0.48931   -0.26554
     0.47485   -0.27313
     0.46039   -0.28057
     0.44594   -0.28791
     0.43149   -0.29544
     0.41705   -0.30410
     0.40262   -0.31651
     0.38819   -0.33620
     0.37378   -0.36426
     0.35937   -0.39225
     0.34497   -0.40499
     0.33059   -0.41180
     0.31621   -0.42070
     0.30185   -0.43093
     0.28751   -0.44216
     0.27318   -0.45428
     0.25888   -0.46724
     0.24459   -0.48103
     0.23033   -0.49569
     0.21609   -0.51130
     0.20189   -0.52794
     0.18773   -0.54574
     0.17361   -0.56490
     0.15955   -0.58563
     0.14554   -0.60826
     0.13162   -0.63319
     0.11779   -0.66098
     0.10409   -0.69240
     0.09056   -0.72848
     0.07727   -0.77069
     0.06433   -0.82098
     0.05198   -0.88174
     0.04062   -0.95497
     0.03079   -1.04018
     0.02290   -1.13299
     0.01687   -1.22722
     0.01231   -1.31730
     0.00882   -1.39736
     0.00612   -1.45720
     0.00401   -1.47764
     0.00238   -1.42175
     0.00119   -1.23337
     0.00041   -0.85221
     0.00004   -0.31387
     0.00004    0.22932
     0.00041    0.67264
     0.00119    0.92591
     0.00238    0.99960
     0.00401    0.96740
     0.00612    0.88390
     0.00882    0.78265
     0.01231    0.67403
     0.01687    0.56871
     0.02290    0.46657
     0.03079    0.37427
     0.04062    0.29437
     0.05198    0.22992
     0.06433    0.17923
     0.07727    0.13952
     0.09056    0.10803
     0.10409    0.08268
     0.11779    0.06199
     0.13162    0.04493
     0.14554    0.03073
     0.15955    0.01885
     0.17361    0.00887
     0.18773    0.00046
     0.20189   -0.00662
     0.21609   -0.01257
     0.23033   -0.01756
     0.24459   -0.02172
     0.25888   -0.02515
     0.27318   -0.02795
     0.28751   -0.03020
     0.30185   -0.03196
     0.31621   -0.03328
     0.33059   -0.03422
     0.34497   -0.03482
     0.35937   -0.03511
     0.37378   -0.03513
     0.38819   -0.03491
     0.40262   -0.03446
     0.41705   -0.03382
     0.43149   -0.03301
     0.44594   -0.03202
     0.46039   -0.03090
     0.47485   -0.02963
     0.48931   -0.02825
     0.50378   -0.02675
     0.51825   -0.02514
     0.53273   -0.02343
     0.54721   -0.02163
     0.56169   -0.01974
     0.57617   -0.01776
     0.59066   -0.01569
     0.60515   -0.01353
     0.61964   -0.01128
     0.63413   -0.00894
     0.64863   -0.00650
     0.66312   -0.00395
     0.67762   -0.00129
     0.69211    0.00149
     0.70661    0.00440
     0.72110    0.00747
     0.73560    0.01070
     0.75010    0.01412
     0.76459    0.01775
     0.77908    0.02161
     0.79358    0.02573
     0.80807    0.03014
     0.82256    0.03485
     0.83704    0.03989
     0.85153    0.04523
     0.86601    0.05085
     0.88049    0.05663
     0.89497    0.06243
     0.90944    0.06799
     0.92391    0.07308
     0.93836    0.07751
     0.95276    0.08131
     0.96698    0.08465
     0.98052    0.08731
     0.99221    0.08920
     1.00000    0.09036
