#      x          Cp  
     1.00000    0.31849
     0.99616    0.19680
     0.99094    0.16156
     0.98488    0.13246
     0.97815    0.11014
     0.97099    0.09160
     0.96358    0.07584
     0.95605    0.06215
     0.94845    0.05002
     0.94081    0.03911
     0.93317    0.02915
     0.92551    0.01996
     0.91785    0.01142
     0.91019    0.00340
     0.90253   -0.00417
     0.89486   -0.01136
     0.88720   -0.01821
     0.87953   -0.02478
     0.87186   -0.03109
     0.86419   -0.03718
     0.85653   -0.04308
     0.84886   -0.04879
     0.84119   -0.05435
     0.83351   -0.05977
     0.82584   -0.06507
     0.81817   -0.07025
     0.81050   -0.07533
     0.80282   -0.08031
     0.79515   -0.08522
     0.78748   -0.09005
     0.77980   -0.09482
     0.77213   -0.09952
     0.76445   -0.10418
     0.75678   -0.10879
     0.74910   -0.11335
     0.74143   -0.11788
     0.73375   -0.12238
     0.72607   -0.12685
     0.71840   -0.13130
     0.71072   -0.13573
     0.70304   -0.14014
     0.69537   -0.14454
     0.68769   -0.14893
     0.68002   -0.15331
     0.67234   -0.15770
     0.66466   -0.16208
     0.65699   -0.16646
     0.64931   -0.17085
     0.64164   -0.17525
     0.63396   -0.17965
     0.62629   -0.18407
     0.61861   -0.18850
     0.61094   -0.19295
     0.60327   -0.19742
     0.59559   -0.20190
     0.58792   -0.20641
     0.58025   -0.21094
     0.57258   -0.21550
     0.56491   -0.22008
     0.55724   -0.22470
     0.54957   -0.22934
     0.54190   -0.23402
     0.53424   -0.23873
     0.52657   -0.24348
     0.51891   -0.24827
     0.51124   -0.25309
     0.50358   -0.25796
     0.49592   -0.26287
     0.48826   -0.26782
     0.48060   -0.27282
     0.47294   -0.27787
     0.46528   -0.28296
     0.45763   -0.28811
     0.44998   -0.29332
     0.44232   -0.29857
     0.43467   -0.30389
     0.42703   -0.30926
     0.41938   -0.31470
     0.41173   -0.32020
     0.40409   -0.32576
     0.39645   -0.33140
     0.38881   -0.33710
     0.38118   -0.34288
     0.37354   -0.34873
     0.36591   -0.35467
