#      x          Cp  
     1.00000    0.07419
     0.99406    0.06478
     0.98207    0.04220
     0.96853    0.01924
     0.95469   -0.00465
     0.94082   -0.02436
     0.92694   -0.03973
     0.91305   -0.05603
     0.89917   -0.06984
     0.88528   -0.08411
     0.87140   -0.09784
     0.85752   -0.11077
     0.84364   -0.12420
     0.82976   -0.13595
     0.81588   -0.14840
     0.80200   -0.16029
     0.78812   -0.17155
     0.77424   -0.18401
     0.76035   -0.19449
     0.74647   -0.20631
     0.73258   -0.21667
     0.71869   -0.22852
     0.70479   -0.23911
     0.69090   -0.24975
     0.67701   -0.26106
     0.66311   -0.27161
     0.64922   -0.28178
     0.63533   -0.29218
     0.62143   -0.30222
     0.60754   -0.31158
     0.59365   -0.32140
     0.57975   -0.32979
     0.56586   -0.33931
     0.55198   -0.34928
     0.53809   -0.36397
     0.52420   -0.38635
     0.51031   -0.41999
     0.49643   -0.45661
     0.48255   -0.47551
     0.46866   -0.48186
     0.45479   -0.48979
     0.44091   -0.49873
     0.42704   -0.50835
     0.41318   -0.51852
     0.39931   -0.52930
     0.38545   -0.54062
     0.37161   -0.55233
     0.35776   -0.56466
     0.34392   -0.57740
     0.33010   -0.59071
     0.31628   -0.60450
     0.30247   -0.61890
     0.28868   -0.63404
     0.27490   -0.64983
     0.26114   -0.66636
     0.24739   -0.68376
     0.23367   -0.70203
     0.21997   -0.72127
     0.20630   -0.74135
     0.19266   -0.76251
     0.17906   -0.78466
     0.16552   -0.80798
     0.15203   -0.83206
     0.13861   -0.85718
     0.12528   -0.88242
     0.11205   -0.90757
     0.09896   -0.93372
     0.08602   -0.96156
     0.07330   -0.99236
     0.06085   -1.02535
     0.04878   -1.05827
     0.03728   -1.08362
     0.02672   -1.08946
     0.01780   -1.06339
     0.01120   -0.99740
     0.00681   -0.89248
     0.00399   -0.76025
     0.00214   -0.60692
     0.00093   -0.42851
     0.00023   -0.18447
     0.00000    0.21390
     0.00034    0.77431
     0.00137    0.99840
     0.00306    0.94294
     0.00549    0.81966
     0.00899    0.68993
     0.01425    0.55529
     0.02209    0.44111
     0.03242    0.35106
     0.04430    0.29145
     0.05693    0.24999
     0.06994    0.22207
     0.08315    0.20302
     0.09652    0.18992
     0.10998    0.18005
     0.12352    0.17220
     0.13711    0.16566
     0.15076    0.16027
     0.16444    0.15583
     0.17814    0.15250
     0.19188    0.15026
     0.20563    0.14859
     0.21941    0.14772
     0.23320    0.14745
     0.24700    0.14754
     0.26082    0.14821
     0.27465    0.14929
     0.28849    0.15043
     0.30235    0.15191
     0.31622    0.15345
     0.33011    0.15513
     0.34401    0.15668
     0.35792    0.15837
     0.37184    0.16008
     0.38578    0.16149
     0.39973    0.16322
     0.41368    0.16488
     0.42762    0.16633
     0.44155    0.16794
     0.45547    0.16966
     0.46938    0.17103
     0.48329    0.17227
     0.49718    0.17345
     0.51107    0.17463
     0.52496    0.17558
     0.53884    0.17641
     0.55271    0.17713
     0.56659    0.17782
     0.58046    0.17836
     0.59432    0.17862
     0.60818    0.17899
     0.62204    0.17899
     0.63589    0.17905
     0.64973    0.17882
     0.66358    0.17861
     0.67742    0.17813
     0.69126    0.17753
     0.70510    0.17689
     0.71895    0.17605
     0.73279    0.17523
     0.74664    0.17420
     0.76049    0.17318
     0.77434    0.17199
     0.78819    0.17059
     0.80204    0.16922
     0.81590    0.16756
     0.82977    0.16568
     0.84363    0.16369
     0.85750    0.16116
     0.87137    0.15854
     0.88524    0.15534
     0.89911    0.15170
     0.91298    0.14732
     0.92686    0.14220
     0.94073    0.13586
     0.95461    0.12835
     0.96846    0.11911
     0.98206    0.10653
     0.99406    0.09002
     1.00000    0.07419
