#      x          Cp  
     1.00000    0.07399
     0.99406    0.06464
     0.98207    0.04271
     0.96853    0.02033
     0.95469   -0.00293
     0.94082   -0.02220
     0.92694   -0.03733
     0.91305   -0.05326
     0.89917   -0.06681
     0.88528   -0.08072
     0.87140   -0.09408
     0.85752   -0.10663
     0.84364   -0.11958
     0.82976   -0.13088
     0.81588   -0.14277
     0.80200   -0.15406
     0.78812   -0.16467
     0.77424   -0.17626
     0.76035   -0.18593
     0.74647   -0.19668
     0.73258   -0.20596
     0.71869   -0.21639
     0.70479   -0.22556
     0.69090   -0.23467
     0.67701   -0.24438
     0.66311   -0.25389
     0.64922   -0.26446
     0.63533   -0.27826
     0.62143   -0.29720
     0.60754   -0.32356
     0.59365   -0.35807
     0.57975   -0.39496
     0.56586   -0.41718
     0.55198   -0.42351
     0.53809   -0.43068
     0.52420   -0.43834
     0.51031   -0.44645
     0.49643   -0.45490
     0.48255   -0.46375
     0.46866   -0.47300
     0.45479   -0.48263
     0.44091   -0.49271
     0.42704   -0.50319
     0.41318   -0.51408
     0.39931   -0.52542
     0.38545   -0.53723
     0.37161   -0.54939
     0.35776   -0.56208
     0.34392   -0.57517
     0.33010   -0.58877
     0.31628   -0.60283
     0.30247   -0.61746
     0.28868   -0.63277
     0.27490   -0.64871
     0.26114   -0.66535
     0.24739   -0.68283
     0.23367   -0.70115
     0.21997   -0.72039
     0.20630   -0.74048
     0.19266   -0.76160
     0.17906   -0.78369
     0.16552   -0.80689
     0.15203   -0.83086
     0.13861   -0.85581
     0.12528   -0.88095
     0.11205   -0.90612
     0.09896   -0.93231
     0.08602   -0.96017
     0.07330   -0.99080
     0.06085   -1.02345
     0.04878   -1.05577
     0.03728   -1.08039
     0.02672   -1.08555
     0.01780   -1.05873
     0.01120   -0.99181
     0.00681   -0.88615
     0.00399   -0.75341
     0.00214   -0.59965
     0.00093   -0.42048
     0.00023   -0.17438
     0.00000    0.22415
     0.00034    0.77965
     0.00137    0.99861
     0.00306    0.94235
     0.00549    0.81825
     0.00899    0.68912
     0.01425    0.55409
     0.02209    0.44021
     0.03242    0.35007
     0.04430    0.29046
     0.05693    0.24908
     0.06994    0.22114
     0.08315    0.20206
     0.09652    0.18891
     0.10998    0.17903
     0.12352    0.17120
     0.13711    0.16469
     0.15076    0.15933
     0.16444    0.15493
     0.17814    0.15159
     0.19188    0.14934
     0.20563    0.14767
     0.21941    0.14677
     0.23320    0.14648
     0.24700    0.14655
     0.26082    0.14719
     0.27465    0.14822
     0.28849    0.14934
     0.30235    0.15078
     0.31622    0.15229
     0.33011    0.15393
     0.34401    0.15547
     0.35792    0.15713
     0.37184    0.15882
     0.38578    0.16024
     0.39973    0.16193
     0.41368    0.16356
     0.42762    0.16501
     0.44155    0.16658
     0.45547    0.16824
     0.46938    0.16959
     0.48329    0.17082
     0.49718    0.17199
     0.51107    0.17313
     0.52496    0.17407
     0.53884    0.17489
     0.55271    0.17560
     0.56659    0.17626
     0.58046    0.17678
     0.59432    0.17705
     0.60818    0.17738
     0.62204    0.17739
     0.63589    0.17742
     0.64973    0.17720
     0.66358    0.17696
     0.67742    0.17647
     0.69126    0.17587
     0.70510    0.17521
     0.71895    0.17436
     0.73279    0.17351
     0.74664    0.17245
     0.76049    0.17138
     0.77434    0.17015
     0.78819    0.16872
     0.80204    0.16728
     0.81590    0.16556
     0.82977    0.16362
     0.84363    0.16155
     0.85750    0.15898
     0.87137    0.15625
     0.88524    0.15299
     0.89911    0.14926
     0.91298    0.14482
     0.92686    0.13962
     0.94073    0.13323
     0.95461    0.12565
     0.96846    0.11635
     0.98206    0.10390
     0.99406    0.08799
     1.00000    0.07399
